Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name
ENSGALG00000054309	2	7989967	7999870	-1	
ENSGALG00000052323	KZ626836.1	314279	340628	1	
ENSGALG00000051193	KZ626836.1	195976	215586	-1	
ENSGALG00000052554	KZ626836.1	164640	196343	1	
ENSGALG00000053959	KZ626836.1	80021	81692	1	
ENSGALG00000048787	KZ626836.1	10282	18469	1	
ENSGALG00000053796	11	14721110	14728025	1	
ENSGALG00000051042	11	14719077	14728120	-1	
ENSGALG00000003675	14	2436022	2524536	-1	PRKAR1B
ENSGALG00000052450	31	963479	963643	1	
ENSGALG00000027138	25	2538236	2543668	1	ETV3L
ENSGALG00000009504	6	32042789	32050896	-1	
ENSGALG00000052314	11	16408525	16467182	-1	
ENSGALG00000054587	AADN05001432.1	10334	24295	1	
ENSGALG00000053008	11	15815185	15944572	-1	
ENSGALG00000048881	11	15664848	15669126	1	
ENSGALG00000051321	11	15662820	15664458	-1	
ENSGALG00000048397	11	15515225	15527643	1	
ENSGALG00000051775	11	15510944	15531845	-1	
ENSGALG00000037682	6	1634831	1751717	1	CCSER2
ENSGALG00000001943	18	4361778	4372525	1	RHBDF2
ENSGALG00000042606	13	1548787	1552955	-1	
ENSGALG00000034125	W	11411	11493	1	
ENSGALG00000044223	31	949730	950175	1	
ENSGALG00000048871	11	15249045	15260810	-1	
ENSGALG00000054385	11	15112971	15127646	-1	
ENSGALG00000051381	11	14907359	14916544	1	
ENSGALG00000054827	11	14780081	14880684	-1	
ENSGALG00000053996	1	188531441	188534800	1	
ENSGALG00000049507	11	14743596	14774926	-1	
ENSGALG00000047259	1	188445674	188461563	1	
ENSGALG00000050093	1	188346884	188351593	1	
ENSGALG00000053097	18	1836647	1887466	-1	
ENSGALG00000039312	18	1678958	1689569	-1	
ENSGALG00000050531	AADN05001223.1	7444	14990	1	
ENSGALG00000053387	AADN05001223.1	2083	7273	1	
ENSGALG00000052118	AADN05001223.1	21	17993	-1	
ENSGALG00000051816	18	681062	682955	-1	
ENSGALG00000052727	18	80415	85973	1	
ENSGALG00000050980	18	31718	38519	-1	
ENSGALG00000016872	1	145418480	145689429	-1	PCCA
ENSGALG00000045228	3	16130010	16131928	1	
ENSGALG00000011428	2	38775654	38800952	-1	AZI2
ENSGALG00000028762	5	29110081	29151380	-1	ZFYVE26
ENSGALG00000000660	11	18950606	18962787	1	CYB5B
ENSGALG00000008454	7	11777039	11801661	1	NOP58
ENSGALG00000046083	13	1524915	1532585	-1	
ENSGALG00000025458	8	23039992	23040099	-1	gga-mir-1809
ENSGALG00000045132	31	941497	945753	1	
ENSGALG00000029135	1	35544311	35549594	1	YEATS4
ENSGALG00000033417	2	467007	502923	1	SSPO
ENSGALG00000050542	18	29840	31481	-1	
ENSGALG00000030852	28	1638657	1663714	-1	
ENSGALG00000052159	28	1498724	1501560	-1	
ENSGALG00000048751	28	1475897	1480449	1	
ENSGALG00000024395	28	1022915	1024729	-1	
ENSGALG00000048688	2	5977318	5978873	-1	
ENSGALG00000051625	28	892611	894378	1	
ENSGALG00000048196	2	5902024	5920128	1	
ENSGALG00000050908	28	534868	553560	-1	
ENSGALG00000052793	28	280102	296526	1	
ENSGALG00000049302	2	5196555	5232092	-1	
ENSGALG00000000669	25	2520992	2528858	1	ETV3
ENSGALG00000025811	2	38726423	38770371	1	
ENSGALG00000053340	2	4879190	4880617	-1	
ENSGALG00000053567	28	268086	271357	1	
ENSGALG00000049540	2	4866349	4873708	1	
ENSGALG00000054892	28	132252	135356	-1	
ENSGALG00000054328	2	4493597	4499235	-1	
ENSGALG00000030849	28	114505	118382	-1	
ENSGALG00000052847	2	4476205	4483000	1	
ENSGALG00000049769	28	90646	96623	-1	
ENSGALG00000048493	9	23760796	23762556	1	
ENSGALG00000054934	28	50575	80716	-1	
ENSGALG00000049955	2	4455425	4548459	-1	
ENSGALG00000053418	2	4235554	4241903	-1	
ENSGALG00000047331	28	35415	46098	-1	
ENSGALG00000054290	28	21455	31724	-1	
ENSGALG00000051450	28	15780	47675	-1	
ENSGALG00000052785	Z	74595735	74636733	-1	
ENSGALG00000047844	Z	73391719	73401460	-1	
ENSGALG00000045887	Z	73376080	73425182	1	
ENSGALG00000050854	1	115750462	115774697	1	
ENSGALG00000050906	Z	72907934	72911951	-1	
ENSGALG00000047512	Z	72869080	72870341	-1	
ENSGALG00000050955	1	117442306	117459072	1	
ENSGALG00000047042	1	117441496	117446925	1	
ENSGALG00000031866	6	1616246	1623255	-1	
ENSGALG00000054734	1	117426042	117438827	-1	
ENSGALG00000029789	9	12836912	12849716	1	PPP1R2
ENSGALG00000032273	3	16112592	16128910	1	POLR1B
ENSGALG00000001892	18	4342538	4349605	1	CYGB
ENSGALG00000040780	W	787	48077	1	UBAP2
ENSGALG00000009963	1	35542896	35546583	1	LYZ
ENSGALG00000052734	13	1509879	1512414	-1	
ENSGALG00000053653	2	462928	465096	-1	ZNF467
ENSGALG00000053116	2	459048	460783	-1	LRRC61
ENSGALG00000010502	8	22977670	23027628	-1	SPATA6
ENSGALG00000008302	10	20483878	20486357	-1	CIB4
ENSGALG00000052902	18	4318592	4318661	-1	
ENSGALG00000044904	13	1502095	1504640	-1	PCDHA4
ENSGALG00000050791	1	117303044	117342131	-1	
ENSGALG00000051100	1	117280098	117285971	1	
ENSGALG00000054581	KZ626834.1	377080	385294	1	
ENSGALG00000048023	1	115886252	115906399	1	
ENSGALG00000050326	1	115838274	115865673	1	
ENSGALG00000054276	KZ626834.1	275372	308931	1	
ENSGALG00000053984	1	115817431	115818998	1	
ENSGALG00000050230	1	1796559	1824670	-1	
ENSGALG00000049698	1	115814798	115902092	1	
ENSGALG00000053060	1	1740665	1744629	1	
ENSGALG00000030129	KZ626834.1	260462	263848	-1	
ENSGALG00000008153	1	1649616	1654200	1	
ENSGALG00000050624	KZ626834.1	219301	225463	1	
ENSGALG00000048922	KZ626834.1	37203	86536	-1	
ENSGALG00000054443	KZ626834.1	413370	583886	1	
ENSGALG00000051854	1	1334129	1336026	1	
ENSGALG00000049264	1	1077724	1080772	1	
ENSGALG00000053590	1	1035706	1038036	-1	
ENSGALG00000049687	1	1021865	1023345	-1	
ENSGALG00000048878	1	1021093	1024340	1	
ENSGALG00000027247	2	38541856	38546582	-1	EOMES
ENSGALG00000052303	30	1803240	1805564	-1	
ENSGALG00000047788	18	4317051	4317126	-1	
ENSGALG00000049223	1	1019477	1021544	-1	
ENSGALG00000054974	30	1797373	1808363	1	
ENSGALG00000050519	1	1017506	1019124	1	
ENSGALG00000010494	8	22961544	22982526	1	SLC5A9
ENSGALG00000000657	11	18938562	18946393	-1	TERF2
ENSGALG00000031298	22	3701007	3708828	-1	
ENSGALG00000045614	13	1472512	1484929	-1	
ENSGALG00000009538	5	29100045	29107183	1	
ENSGALG00000055138	2	1693813	1716490	-1	
ENSGALG00000054903	1	1014292	1016273	1	
ENSGALG00000051114	1	1009593	1014073	-1	
ENSGALG00000000511	26	1544510	1563320	1	KCTD20
ENSGALG00000022758	1	145387493	145417076	1	GGACT
ENSGALG00000048637	13	1454654	1458265	1	
ENSGALG00000044521	31	934181	938763	-1	
ENSGALG00000054618	2	1264262	1274369	1	
ENSGALG00000043142	13	1438620	1451031	-1	
ENSGALG00000008297	10	20469938	20483264	1	SEMA4B
ENSGALG00000047673	22	3690748	3693782	-1	
ENSGALG00000027655	8	22557337	22809760	-1	TRABD2B
ENSGALG00000034086	1	1006230	1014073	1	
ENSGALG00000049961	2	1264262	1282700	-1	
ENSGALG00000053334	1	999121	1006305	-1	
ENSGALG00000053636	2	1227522	1231654	1	
ENSGALG00000050846	1	996100	1005037	1	
ENSGALG00000051962	1	904386	908911	-1	
ENSGALG00000048146	2	33483	34684	-1	
ENSGALG00000048724	1	887789	895576	-1	
ENSGALG00000054662	1	843352	851783	-1	
ENSGALG00000031473	1	835695	840350	1	
ENSGALG00000001118	17	9627008	9673191	1	NEK6
ENSGALG00000051260	30	1759676	1780337	-1	
ENSGALG00000046743	31	906894	919642	-1	
ENSGALG00000051847	13	1429210	1432828	1	
ENSGALG00000048328	1	831763	833772	-1	
ENSGALG00000047194	1	825604	829736	-1	
ENSGALG00000031791	AADN05001465.1	2501	8496	1	
ENSGALG00000025848	8	22527475	22527584	-1	gga-mir-6622
ENSGALG00000008614	3	16096879	16112242	1	TTL
ENSGALG00000033092	22	3666803	3671212	1	TMEM127
ENSGALG00000049843	31	893009	917143	-1	
ENSGALG00000008419	12	19853528	19868566	-1	SEC13
ENSGALG00000000654	11	18934966	18937487	-1	TMED6
ENSGALG00000017312	1	196023421	196053237	-1	PPME1
ENSGALG00000046797	1	806034	808401	-1	
ENSGALG00000009526	5	29091857	29099825	-1	VTI1B
ENSGALG00000006995	9	12832591	12836179	1	APOD
ENSGALG00000046939	30	1697740	1701045	1	
ENSGALG00000049599	6	23956531	23969457	-1	
ENSGALG00000053751	1	799314	802388	1	
ENSGALG00000037374	9	24122589	24125592	-1	
ENSGALG00000046846	9	23843069	23858982	-1	
ENSGALG00000048824	9	23580459	23590269	-1	
ENSGALG00000048648	6	24097875	24107567	-1	
ENSGALG00000016870	1	145329072	145382220	1	TMTC4
ENSGALG00000000504	26	1539943	1544102	-1	ETV7
ENSGALG00000052525	9	22916463	22922512	-1	
ENSGALG00000049370	6	24005577	24010274	-1	
ENSGALG00000048075	9	22802278	22806583	-1	
ENSGALG00000051053	6	23938904	23947699	-1	
ENSGALG00000048695	6	23911232	23918002	-1	
ENSGALG00000052456	9	22779515	22791354	-1	
ENSGALG00000046925	9	22512481	22528095	-1	
ENSGALG00000052005	6	23184626	23186110	-1	
ENSGALG00000035389	9	22456160	22458847	1	
ENSGALG00000048148	1	87362293	87533270	1	
ENSGALG00000046861	6	23080333	23092261	1	
ENSGALG00000054762	1	798987	801506	-1	
ENSGALG00000047599	1	795452	798428	-1	
ENSGALG00000051861	1	87200276	87217331	1	
ENSGALG00000048963	1	87193242	87200085	-1	
ENSGALG00000051631	1	793067	795368	-1	
ENSGALG00000048756	1	87061893	87150112	1	
ENSGALG00000046736	1	86823265	86852994	1	
ENSGALG00000054540	1	86756852	86761446	1	
ENSGALG00000049873	1	252277	256896	-1	
ENSGALG00000053977	1	86731517	86745187	1	
ENSGALG00000051786	1	86583095	86680822	1	
ENSGALG00000054719	1	86061580	86076101	-1	
ENSGALG00000052679	1	106317	118568	-1	
ENSGALG00000043225	KZ626837.1	1841875	1905100	-1	
ENSGALG00000053017	KZ626837.1	1831531	1847391	-1	
ENSGALG00000047468	KZ626837.1	1753592	1755974	-1	
ENSGALG00000027712	25	2516848	2520385	1	SLAMF8
ENSGALG00000033570	24	252913	269196	-1	
ENSGALG00000054529	27	2112536	2119895	1	
ENSGALG00000054064	KZ626837.1	514647	1061559	1	
ENSGALG00000050614	27	2060290	2160360	1	
ENSGALG00000048161	3	81087303	81091366	-1	
ENSGALG00000043500	KZ626837.1	1820283	1863797	1	
ENSGALG00000050476	27	2051789	2053888	1	
ENSGALG00000047107	3	81054942	81062742	1	
ENSGALG00000048845	27	1789783	1791782	1	
ENSGALG00000055100	3	80988951	80998701	-1	
ENSGALG00000051653	27	1760171	1775965	1	
ENSGALG00000047133	AADN05001417.1	4500	12955	-1	
ENSGALG00000051134	27	1742353	1748839	1	
ENSGALG00000047700	3	80241064	80256818	-1	
ENSGALG00000053352	27	1739872	1768548	-1	
ENSGALG00000041312	3	80106902	80199236	-1	
ENSGALG00000053660	3	79860227	79908681	-1	
ENSGALG00000052281	3	79684829	79690853	1	
ENSGALG00000050029	27	1724543	1729960	-1	
ENSGALG00000054346	3	79651891	79669373	1	
ENSGALG00000050871	27	1716776	1759319	1	
ENSGALG00000052699	27	1716776	1769351	-1	
ENSGALG00000050812	3	79424192	79431838	1	
ENSGALG00000054349	Z	31231952	31244487	1	
ENSGALG00000053532	Z	30270421	30285301	-1	
ENSGALG00000050645	9	14464779	14474823	-1	
ENSGALG00000052045	9	14401052	14474824	-1	
ENSGALG00000047059	9	14316705	14344686	-1	
ENSGALG00000052948	9	14296050	14312353	-1	
ENSGALG00000051830	8	20241531	20247128	1	
ENSGALG00000048997	9	14290784	14292057	1	
ENSGALG00000051183	9	13149888	13160078	-1	
ENSGALG00000046679	8	20147159	20154512	1	
ENSGALG00000052257	9	13149888	13160086	-1	
ENSGALG00000049400	9	13110923	13133582	-1	
ENSGALG00000046837	9	14850863	14861506	1	
ENSGALG00000016536	3	104913067	104937303	-1	HADHA
ENSGALG00000049292	30	1492076	1499617	-1	
ENSGALG00000052379	9	14347633	14362633	-1	
ENSGALG00000054798	9	14344778	14347642	1	
ENSGALG00000050903	8	1104484	1114072	-1	
ENSGALG00000047759	8	1085113	1107488	-1	
ENSGALG00000053412	31	891597	908754	-1	
ENSGALG00000000497	26	1533127	1536766	-1	
ENSGALG00000053348	8	597116	623042	-1	
ENSGALG00000049780	22	3663296	3664720	1	
ENSGALG00000047412	30	1477520	1500970	1	
ENSGALG00000009683	4	25395535	25437030	1	NEK1
ENSGALG00000049900	31	832318	836649	-1	
ENSGALG00000015464	1	93435286	93470481	1	PTGFRN
ENSGALG00000001124	17	9524055	9542497	1	LHX2
ENSGALG00000013993	3	56889501	56916337	1	VNN1
ENSGALG00000037675	2	136788122	136908061	1	COL14A1
ENSGALG00000052555	8	542826	623040	-1	
ENSGALG00000033767	9	13852162	13855980	-1	
ENSGALG00000048335	8	1713265	1716626	-1	
ENSGALG00000051503	9	13792994	13802544	1	
ENSGALG00000049168	9	13768256	13802571	-1	
ENSGALG00000053067	9	13753480	13767075	-1	
ENSGALG00000048595	8	1252071	1271124	-1	
ENSGALG00000048479	9	13388768	13397448	1	
ENSGALG00000054610	1	171624049	171638232	-1	
ENSGALG00000049975	AADN05001347.1	901	7601	1	
ENSGALG00000054283	8	1121688	1146853	-1	
ENSGALG00000051011	1	171589850	171638693	1	
ENSGALG00000047619	AADN05001347.1	21	5131	-1	
ENSGALG00000052367	8	1056572	1080630	-1	
ENSGALG00000050758	1	171497990	171501651	-1	
ENSGALG00000053009	8	1016072	1030837	-1	
ENSGALG00000048943	8	1004110	1013203	-1	
ENSGALG00000052685	8	941877	981699	-1	
ENSGALG00000049809	1	171466502	171476314	-1	
ENSGALG00000048836	8	715737	835787	-1	
ENSGALG00000052822	1	171305216	171336670	-1	
ENSGALG00000050234	8	643880	692683	-1	
ENSGALG00000053718	1	171140056	171157355	1	
ENSGALG00000051720	8	516467	529352	-1	
ENSGALG00000048894	1	171087887	171108174	-1	
ENSGALG00000053256	1	170897735	170954795	1	
ENSGALG00000054601	8	474054	507786	-1	
ENSGALG00000050514	1	170793116	170833917	-1	
ENSGALG00000054024	8	427075	430953	-1	
ENSGALG00000052631	8	324630	327378	-1	
ENSGALG00000029528	25	2487750	2508685	1	KIRREL1
ENSGALG00000009502	6	31972921	32042255	-1	ATE1
ENSGALG00000051995	1	175349766	175407942	1	
ENSGALG00000050238	AADN05001288.1	2216	11741	1	
ENSGALG00000053821	8	324630	327378	1	
ENSGALG00000052226	1	170738574	170754009	1	
ENSGALG00000047374	1	175277315	175322274	1	
ENSGALG00000047721	31	779716	790080	1	
ENSGALG00000001661	3	16081562	16095818	1	SLC22A7
ENSGALG00000054250	30	1471476	1477699	-1	
ENSGALG00000043260	AADN05001288.1	76	23170	-1	
ENSGALG00000008435	7	11763927	11776913	-1	SUMO1
ENSGALG00000026417	17	9507606	9507778	1	
ENSGALG00000048459	3	104904767	104912223	1	GAREM2
ENSGALG00000036942	26	1492029	1493771	-1	KCNA3
ENSGALG00000042474	8	22337943	22339289	1	FOXD2
ENSGALG00000028153	8	22326174	22327334	1	
ENSGALG00000053103	1	170650886	170665803	-1	
ENSGALG00000047113	8	158537	163777	-1	
ENSGALG00000034183	AADN05001288.1	76	23170	1	
ENSGALG00000050493	1	170437773	170440157	-1	
ENSGALG00000049298	1	175253196	175281692	1	
ENSGALG00000047974	1	170029045	170035511	-1	
ENSGALG00000052543	1	175051920	175128476	-1	
ENSGALG00000031392	1	169717070	169741966	1	
ENSGALG00000054213	1	174914262	174920828	1	
ENSGALG00000048156	1	174859806	174861710	1	
ENSGALG00000029950	1	174623725	174665873	1	
ENSGALG00000052701	1	174065105	174075770	-1	
ENSGALG00000049842	1	173962073	173969241	-1	
ENSGALG00000051994	1	173959551	173973048	1	
ENSGALG00000051912	1	173810485	173813264	-1	
ENSGALG00000053287	14	16159881	16180338	1	
ENSGALG00000051216	14	16155992	16181369	-1	
ENSGALG00000047779	14	15984884	15986289	-1	
ENSGALG00000042265	14	15424288	15426194	-1	
ENSGALG00000048726	5	34326148	34334545	-1	
ENSGALG00000052110	1	11455652	11476116	-1	
ENSGALG00000050337	14	15240125	15245053	-1	
ENSGALG00000053789	1	11139951	11155538	1	
ENSGALG00000053909	5	34963699	35005792	-1	
ENSGALG00000047680	31	764722	767822	1	
ENSGALG00000051628	25	2473278	2475688	-1	
ENSGALG00000013031	1	61651327	61672321	-1	CECR1
ENSGALG00000000442	26	1469306	1471568	-1	KCNA2
ENSGALG00000052297	1	11118999	11154125	-1	
ENSGALG00000039097	14	15178646	15188586	-1	
ENSGALG00000001883	18	4308786	4315058	1	ST6GALNAC2
ENSGALG00000028552	17	9451334	9451518	1	
ENSGALG00000009519	5	29074720	29091937	1	ARG2
ENSGALG00000006976	9	12801542	12825362	1	
ENSGALG00000025640	17	9340398	9340536	-1	U4
ENSGALG00000042096	1	11009879	11016787	-1	
ENSGALG00000052736	5	34694729	34702999	1	
ENSGALG00000055032	1	10881727	10884579	1	
ENSGALG00000052776	14	14886885	14918432	-1	
ENSGALG00000048859	1	10411936	10414434	-1	
ENSGALG00000039355	1	10360153	10375841	-1	
ENSGALG00000034973	7	11682384	11685456	1	FZD7
ENSGALG00000047862	31	747304	747468	1	
ENSGALG00000052597	5	34295090	34308342	1	
ENSGALG00000054857	5	33967979	34007649	1	
ENSGALG00000047311	5	33964441	33975792	-1	
ENSGALG00000050612	5	33893856	33901873	-1	
ENSGALG00000047746	5	33745802	33940089	1	
ENSGALG00000050435	1	145283060	145301955	-1	
ENSGALG00000052943	1	145263635	145266610	1	
ENSGALG00000047786	1	144896930	144916692	1	
ENSGALG00000052299	1	144266293	144269190	1	
ENSGALG00000050355	1	144090755	144096976	-1	
ENSGALG00000037548	AADN05001240.1	21	2025	1	
ENSGALG00000053994	6	28301127	28316590	1	
ENSGALG00000053161	6	28218217	28234803	1	
ENSGALG00000046870	6	28217998	28228612	1	
ENSGALG00000054639	6	28217983	28229841	1	
ENSGALG00000049592	6	27327739	27338878	-1	
ENSGALG00000051975	2	92445145	92460575	1	
ENSGALG00000048385	2	92442079	92447179	1	
ENSGALG00000054814	2	92298887	92320733	1	
ENSGALG00000051294	6	28572066	28597382	-1	
ENSGALG00000048619	6	28344330	28347288	1	
ENSGALG00000054118	2	92298794	92320699	1	
ENSGALG00000048535	6	28258698	28261991	1	
ENSGALG00000048317	31	728825	731808	1	
ENSGALG00000035842	24	243549	252197	-1	SLC37A2
ENSGALG00000037400	14	7133469	7135314	-1	
ENSGALG00000047626	6	28197163	28202801	1	
ENSGALG00000049416	2	91827090	91829841	1	
ENSGALG00000049123	14	7048582	7055360	1	
ENSGALG00000051526	2	93565903	93591488	-1	
ENSGALG00000046948	6	27962136	27975134	1	
ENSGALG00000049760	14	6964947	6973315	-1	
ENSGALG00000037124	2	92987987	92998716	1	
ENSGALG00000054520	14	6964892	6967910	1	
ENSGALG00000052839	2	92804230	92811582	1	
ENSGALG00000050428	6	27530730	27569179	-1	
ENSGALG00000052216	6	27320452	27337830	-1	
