Chicken_geneSymbol		Chicken_chromosome	Gene start (bp)	Gene end (bp)	Chicken_gene_name	Quail_geneSymbol	Quail_geneName	Quail_Chromosome	Japanese quail homology type	"Japanese quail orthology confidence [0 low, 1 high]"
ENSGALG00000041760		15	337036	375258	CLTCL1	ENSCJPG00005018810	CLTCL1	15	ortholog_one2one	1
ENSGALG00000030261		23	4587121	4588260	SMIM12	ENSCJPG00005017103	SMIM12	23	ortholog_one2one	1
ENSGALG00000042103		5	21907061	21908044	C5H11ORF96	ENSCJPG00005010820	C11orf96	5	ortholog_one2one	1
ENSGALG00000007592		6	23300528	23304345	ZDHHC16	ENSCJPG00005019580	ZDHHC16	6	ortholog_one2one	1
ENSGALG00000029383		KZ626834.1	152063	158251	SLC25A11	ENSCJPG00005002846	SLC25A11	KQ966924.1	ortholog_one2one	1
ENSGALG00000025819		11	8114445	8118077	UQCRFS1	ENSCJPG00005014384	UQCRFS1	11	ortholog_one2one	1
ENSGALG00000002532		23	4593526	4596408	GJA4	ENSCJPG00005017105	GJA4	23	ortholog_one2one	1
ENSGALG00000052027		1	131722616	131727023		ENSCJPG00005019414		1	ortholog_one2one	1
ENSGALG00000006138		20	9732482	9752786	HELZ2	ENSCJPG00005005902	HELZ2	20	ortholog_one2one	1
ENSGALG00000033730		5	21936956	21959269		ENSCJPG00005010821		5	ortholog_one2one	1
ENSGALG00000012552		1	52116279	52137392	TOM1	ENSCJPG00005018178	TOM1	1	ortholog_one2one	1
ENSGALG00000030481		14	13934815	13957363	RAB40C	ENSCJPG00005017452	RAB40C	14	ortholog_one2one	1
ENSGALG00000016737		1	131746791	131757830	NIPA2	ENSCJPG00005019415	NIPA2	1	ortholog_one2one	1
ENSGALG00000032402		11	8324532	8326905	VSTM2B	ENSCJPG00005014385	VSTM2B	11	ortholog_one2one	1
ENSGALG00000041972		11	8355856	8358687	POP4	ENSCJPG00005014386	POP4	11	ortholog_one2one	1
ENSGALG00000031211		4	90933015	90936387	LBX2	ENSCJPG00005006887		KQ966658.1	ortholog_one2one	1
ENSGALG00000004295		19	6396508	6416637	CPD	ENSCJPG00005013094	CPD	19	ortholog_one2one	1
ENSGALG00000039917		6	23305911	23307580	EXOSC1	ENSCJPG00005019603	EXOSC1	6	ortholog_one2one	1
ENSGALG00000036747		4	90938865	90943532	TTC31	ENSCJPG00005006884	TTC31	KQ966658.1	ortholog_one2one	1
ENSGALG00000054289		23	4606524	4607414	GJB5	ENSCJPG00005017108	GJB5	23	ortholog_one2one	1
ENSGALG00000000044		14	13962836	13964455	WFIKKN1	ENSCJPG00005017453	WFIKKN1	14	ortholog_one2one	1
ENSGALG00000036219		20	9768420	9783320	STK35	ENSCJPG00005005899	STK35	20	ortholog_one2one	1
ENSGALG00000025991		4	11340030	11346550	GLOD5	ENSCJPG00005016921	GLOD5	4	ortholog_one2one	1
ENSGALG00000011192		3	41221513	41238416	PHF10	ENSCJPG00005003934	PHF10	3	ortholog_one2one	1
ENSGALG00000006724		9	3145813	3521172		ENSCJPG00005014558		9	ortholog_one2one	1
ENSGALG00000047764		Z	16438274	16440602	HSPB3	ENSCJPG00005000996	HSPB3	Z	ortholog_one2one	1
ENSGALG00000046992		14	13968210	13971188	MCRIP2	ENSCJPG00005017454	MCRIP2	14	ortholog_one2one	1
ENSGALG00000005670		12	9157916	9234162	SLMAP	ENSCJPG00005013450	SLMAP	12	ortholog_one2one	1
ENSGALG00000032453		2	121340221	121344668	FABP9	ENSCJPG00005011831	PMP2	2	ortholog_one2one	1
ENSGALG00000004326		19	6419064	6441777	GOSR1	ENSCJPG00005013189	GOSR1	19	ortholog_one2one	1
ENSGALG00000011193		3	41238384	41241039	C3H6orf120	ENSCJPG00005003935	C6orf120	3	ortholog_one2one	1
ENSGALG00000031542		5	21966267	22035594	EXT2	ENSCJPG00005010822	EXT2	5	ortholog_one2one	1
ENSGALG00000040038		1	20257352	20275372	MLC1	ENSCJPG00005008438	MLC1	1	ortholog_one2one	1
ENSGALG00000004474		11	8369833	8376012	PLEKHF1	ENSCJPG00005014388	PLEKHF1	11	ortholog_one2one	1
ENSGALG00000040128		15	378574	387640	SNAP29	ENSCJPG00005018812	SNAP29	15	ortholog_one2one	1
ENSGALG00000014914		Z	16452909	16470302	SNX18	ENSCJPG00005000997	SNX18	Z	ortholog_one2one	1
ENSGALG00000030229		23	4766719	4994805	CSMD2	ENSCJPG00005017144	CSMD2	23	ortholog_one2one	1
ENSGALG00000021303		13	14032708	14037944	NPY7R	ENSCJPG00005005647		13	ortholog_one2one	1
ENSGALG00000030025		2	121349992	121353429	FABP4	ENSCJPG00005011832	FABP4	2	ortholog_one2one	1
ENSGALG00000037837		14	13973612	13994515	ABCA3	ENSCJPG00005017457	ABCA3	14	ortholog_one2one	1
ENSGALG00000008508		3	4194440	4208671	PYGB	ENSCJPG00005015588	PYGB	3	ortholog_one2one	1
ENSGALG00000020561		Z	16555542	16594029		ENSCJPG00005001024		Z	ortholog_one2one	1
ENSGALG00000004604		17	5656357	5665722		ENSCJPG00005020307		17	ortholog_one2one	1
ENSGALG00000016328		3	88396106	88429051	GSTA2	ENSCJPG00005007965		3	ortholog_one2one	1
ENSGALG00000007546		4	11345577	11367340		ENSCJPG00005016922		4	ortholog_one2one	1
ENSGALG00000032428		11	8389347	8396105		ENSCJPG00005014389		11	ortholog_one2one	1
ENSGALG00000009346		14	14025385	14035041	HN1L	ENSCJPG00005017885	JPT2	14	ortholog_one2one	1
ENSGALG00000027707		Z	16626076	16634702	ESM1	ENSCJPG00005001058	ESM1	Z	ortholog_one2one	1
ENSGALG00000009628		4	11383388	11412143		ENSCJPG00005016924		4	ortholog_one2one	1
ENSGALG00000021301		13	14045467	14050129		ENSCJPG00005005646		13	ortholog_one2one	1
ENSGALG00000037464		3	41241478	41308726		ENSCJPG00005003936		3	ortholog_one2one	1
ENSGALG00000023490		8	14618965	14626886	C8H1ORF146	ENSCJPG00005008197	C1orf146	8	ortholog_one2one	1
ENSGALG00000043252		2	67714111	67721182	OVALX	ENSCJPG00005015608		2	ortholog_one2one	1
ENSGALG00000007570		4	11440335	11449639		ENSCJPG00005016925		4	ortholog_one2one	1
ENSGALG00000013548		Z	16643589	16666277	GZMA	ENSCJPG00005001073	GZMA	Z	ortholog_one2one	1
ENSGALG00000011200		3	41431874	41463697	THBS2	ENSCJPG00005003938	THBS2	3	ortholog_one2one	1
ENSGALG00000029152		9	3603751	3609256	IMP4	ENSCJPG00005000693	IMP4	11	ortholog_one2one	1
ENSGALG00000034487		2	121389232	121401025	IMPA1	ENSCJPG00005011833	IMPA1	2	ortholog_one2one	1
ENSGALG00000005977		8	14636254	14671765	BTBD8	ENSCJPG00005008198	BTBD8	8	ortholog_one2one	1
ENSGALG00000005802		13	14053033	14099309	FLT4	ENSCJPG00005005537	FLT4	13	ortholog_one2one	1
ENSGALG00000047441		19	6449084	6453916	TRARG1	ENSCJPG00005013250	TRARG1	19	ortholog_one2one	1
ENSGALG00000009341		14	14040887	14078874	CRAMP1	ENSCJPG00005017886	CRAMP1	14	ortholog_one2one	1
ENSGALG00000006019		8	14672386	14688883	EPHX4	ENSCJPG00005008202	EPHX4	8	ortholog_one2one	1
ENSGALG00000011205		3	41691462	41825582	SMOC2	ENSCJPG00005003957	SMOC2	3	ortholog_one2one	1
ENSGALG00000040756		15	387835	443753	PI4KA	ENSCJPG00005018836	PI4KA	15	ortholog_one2one	1
ENSGALG00000050470		KZ626833.1	194473	214867	OPN1LW	ENSCJPG00005006316		KQ966742.1	ortholog_one2one	1
ENSGALG00000003238		28	1354469	1369557	GNA11	ENSCJPG00005009735	GNA11	28	ortholog_one2one	1
ENSGALG00000006031		8	14698872	14714760	BRDT	ENSCJPG00005008203	BRDT	8	ortholog_one2one	1
ENSGALG00000004364		19	6464720	6487543	ABR	ENSCJPG00005013263	ABR	19	ortholog_one2one	1
ENSGALG00000009318		14	14083901	14161575	IFT140	ENSCJPG00005018011	IFT140	14	ortholog_one2one	1
ENSGALG00000015624		Z	62855240	62961099	VCAN	ENSCJPG00005000555	VCAN	Z	ortholog_one2one	1
ENSGALG00000012872		2	67733489	67745143	SERPINB11	ENSCJPG00005016777	SERPINB11	2	ortholog_one2one	1
ENSGALG00000013546		Z	16648999	16663409		ENSCJPG00005001063		Z	ortholog_one2one	1
ENSGALG00000006714		9	3610193	3613933	CCDC61	ENSCJPG00005000688	CCDC61	11	ortholog_one2one	1
ENSGALG00000011917		5	54706446	54719162	PPM1A	ENSCJPG00005005489	PPM1A	5	ortholog_one2one	1
ENSGALG00000007606		6	23308083	23310469	PGAM1	ENSCJPG00005019616		6	ortholog_one2one	1
ENSGALG00000006119		10	12109325	12115762	SAXO2	ENSCJPG00005020255	SAXO2	10	ortholog_one2one	1
ENSGALG00000008525		3	4209087	4236900	ABHD12	ENSCJPG00005015587	ABHD12	3	ortholog_one2one	1
ENSGALG00000012873		2	67749398	67762854	SERPINB5	ENSCJPG00005016776	SERPINB5	2	ortholog_one2one	1
ENSGALG00000011921		5	54753623	54771346	DHRS7	ENSCJPG00005005497	DHRS7	5	ortholog_one2one	1
ENSGALG00000029244		23	5030789	5043661	SMAP2	ENSCJPG00005017273	SMAP2	23	ortholog_one2one	1
ENSGALG00000012559		1	52678868	52954337	LARGE1	ENSCJPG00005018186	LARGE1	1	ortholog_one2one	1
ENSGALG00000042794		2	121404192	121410278	ZFAND1	ENSCJPG00005011834	ZFAND1	2	ortholog_one2one	1
ENSGALG00000032584		5	22046823	22071211	ALX4	ENSCJPG00005010823	ALX4	5	ortholog_one2one	1
ENSGALG00000029276		27	5565869	5575947	PPP1R9B	ENSCJPG00005019321	PPP1R9B	27	ortholog_one2one	1
ENSGALG00000006225		10	12115837	12171882	EFL1	ENSCJPG00005020256	EFL1	10	ortholog_one2one	1
ENSGALG00000033432		1	81203444	81204741	NHLH2	ENSCJPG00005017385	NHLH2	1	ortholog_one2one	1
ENSGALG00000044661		28	1374946	1377025		ENSCJPG00005009736		28	ortholog_one2one	1
ENSGALG00000038652		3	88407353	88419645		ENSCJPG00005007935		3	ortholog_one2one	1
ENSGALG00000004383		19	6490173	6494064	TIMM22	ENSCJPG00005014441	TIMM22	19	ortholog_one2one	1
ENSGALG00000039239		15	409259	417626	SERPIND1	ENSCJPG00005019007	SERPIND1	15	ortholog_one2one	1
ENSGALG00000011288		3	41973928	41987008	DACT2	ENSCJPG00005003968	DACT2	3	ortholog_one2one	1
ENSGALG00000005820		13	14101869	14133615	RNF130	ENSCJPG00005005476	RNF130	13	ortholog_one2one	1
ENSGALG00000017148		1	180615148	180632384	CENPJ	ENSCJPG00005001660	CENPJ	1	ortholog_one2one	1
ENSGALG00000015018		1	81232635	81309584	CASQ2	ENSCJPG00005017386	CASQ2	1	ortholog_one2one	1
ENSGALG00000046188		Z	16671494	16692322	CDC20B	ENSCJPG00005001094	CDC20B	Z	ortholog_one2one	1
ENSGALG00000013371		28	1380917	1382110	S1PR4	ENSCJPG00005009755	S1PR4	28	ortholog_one2one	1
ENSGALG00000043573		2	121412494	121426540	CHMP4C	ENSCJPG00005000054	CHMP4C	2	ortholog_one2one	1
ENSGALG00000046427		27	5577814	5583805	SAMD14	ENSCJPG00005019322	SAMD14	27	ortholog_one2one	1
ENSGALG00000011296		3	42134063	42159856		ENSCJPG00005003972		3	ortholog_one2one	1
ENSGALG00000006038		8	14742786	14850067	TGFBR3	ENSCJPG00005008204	TGFBR3	8	ortholog_one2one	1
ENSGALG00000038217		5	22211473	22245391	CD82	ENSCJPG00005010825	CD82	5	ortholog_one2one	1
ENSGALG00000011299		3	42171065	42196994	KIF25	ENSCJPG00005003978	KIF25	3	ortholog_one2one	1
ENSGALG00000013369		28	1383268	1393884	NCLN	ENSCJPG00005009756	NCLN	28	ortholog_one2one	1
ENSGALG00000012879		2	67779277	67798879	VPS4B	ENSCJPG00005016775	VPS4B	2	ortholog_one2one	1
ENSGALG00000026704		Z	16696009	16699213	GPX8	ENSCJPG00005001195	GPX8	Z	ortholog_one2one	1
ENSGALG00000046858		4	90952074	90954966	MOGS	ENSCJPG00005006879	MOGS	KQ966658.1	ortholog_one2one	1
ENSGALG00000029678		2	121434274	121458256	SNX16	ENSCJPG00005000073	SNX16	2	ortholog_one2one	1
ENSGALG00000033416		15	535526	604454	HIC2	ENSCJPG00005019009	HIC2	15	ortholog_one2one	1
ENSGALG00000023195		2	24442691	24446535	DLX6	ENSCJPG00005011514	DLX6	2	ortholog_one2one	1
ENSGALG00000049426		4	90954846	90956999	WBP1	ENSCJPG00005006874	WBP1	KQ966658.1	ortholog_one2one	1
ENSGALG00000005856		13	14144151	14161503	TBC1D9B	ENSCJPG00005005467	TBC1D9B	13	ortholog_one2one	1
ENSGALG00000016739		1	131806734	131911385	HERC2	ENSCJPG00005019456	HERC2	1	ortholog_one2one	1
ENSGALG00000011922		5	54775094	54784642	PCNX4	ENSCJPG00005005503	PCNX4	5	ortholog_one2one	1
ENSGALG00000032004		33	4972497	4977693	CSRNP2	ENSCJPG00005004468	CSRNP2	LGE22C19W28_E50C23	ortholog_one2one	1
ENSGALG00000035530		33	4984673	4997389	TFCP2	ENSCJPG00005004467	TFCP2	LGE22C19W28_E50C23	ortholog_one2one	1
ENSGALG00000012005		5	54816596	54847803		ENSCJPG00005005511		5	ortholog_one2one	1
ENSGALG00000028595		Z	16728157	16734527	CCNO	ENSCJPG00005001200	CCNO	Z	ortholog_one2one	1
ENSGALG00000004573		17	5668179	5684619	LRRC8A	ENSCJPG00005020308	LRRC8A	17	ortholog_one2one	1
ENSGALG00000033589		1	53021721	53223751	SYN3	ENSCJPG00005018187	SYN3	1	ortholog_one2one	1
ENSGALG00000040005		3	4249995	4271262	PPP2R5D	ENSCJPG00005015454	PPP2R5D	3	ortholog_one2one	1
ENSGALG00000015620		Z	62992672	63173370	XRCC4	ENSCJPG00005000577	XRCC4	Z	ortholog_one2one	1
ENSGALG00000011329		3	42208745	42320506	AFDN	ENSCJPG00005003980	AFDN	3	ortholog_one2one	1
ENSGALG00000036901		5	22331177	22412191	TSPAN18	ENSCJPG00005010826	TSPAN18	5	ortholog_one2one	1
ENSGALG00000009129		2	24451494	24453892	DLX5	ENSCJPG00005011516	DLX5	2	ortholog_one2one	1
ENSGALG00000040291		4	90975706	90984000		ENSCJPG00005006856		KQ966658.1	ortholog_one2one	1
ENSGALG00000014182		19	6587381	6595618	ADORA2B	ENSCJPG00005014451	ADORA2B	19	ortholog_one2one	1
ENSGALG00000007609		6	23326295	23340590	ARHGAP19	ENSCJPG00005019619		6	ortholog_one2one	1
ENSGALG00000043394		17	5692033	5729186	NUP188	ENSCJPG00005020311	NUP188	17	ortholog_one2one	1
ENSGALG00000026507		1	180901126	180917603	FDX1	ENSCJPG00005001742	FDX1	1	ortholog_one2one	1
ENSGALG00000029047		14	14114192	14142038	TMEM204	ENSCJPG00005018338	TMEM204	14	ortholog_one2one	1
ENSGALG00000027620		2	24478712	24505959		ENSCJPG00005011519		2	ortholog_one2one	1
ENSGALG00000006704		9	3630354	3699812	VPS8	ENSCJPG00005018764	VPS8	9	ortholog_one2one	1
ENSGALG00000028627		1	53094947	53127580	TIMP3	ENSCJPG00005018188	TIMP3	1	ortholog_one2one	1
ENSGALG00000023686		19	6597285	6607165	ZSWIM7	ENSCJPG00005014452	ZSWIM7	19	ortholog_one2one	1
ENSGALG00000011805		4	51771902	51779687		ENSCJPG00005001845		4	ortholog_one2one	1
ENSGALG00000014069		5	22418650	22435035	TP53I11	ENSCJPG00005010827	TP53I11	5	ortholog_one2one	1
ENSGALG00000017153		1	180936321	180969903	RDX	ENSCJPG00005001749	RDX	1	ortholog_one2one	1
ENSGALG00000031570		4	90985865	90990383	WDR54	ENSCJPG00005006855	WDR54	KQ966658.1	ortholog_one2one	1
ENSGALG00000004489		11	8419633	8446981		ENSCJPG00005014392		11	ortholog_one2one	1
ENSGALG00000014700		Z	16737509	16761257	DHX29	ENSCJPG00005001224	DHX29	Z	ortholog_one2one	1
ENSGALG00000009737		2	24644607	24650874	TAC1	ENSCJPG00005011522	TAC1	2	ortholog_one2one	1
ENSGALG00000012882		2	67810334	67828096	KDSR	ENSCJPG00005016774	KDSR	2	ortholog_one2one	1
ENSGALG00000015025		1	81276492	81306906	VANGL1	ENSCJPG00005017394	VANGL1	1	ortholog_one2one	1
ENSGALG00000008053		5	22505245	22544625	PRDM11	ENSCJPG00005010830	PRDM11	5	ortholog_one2one	1
ENSGALG00000011341		3	42501436	42522334	UNC93A	ENSCJPG00005003999	UNC93A	3	ortholog_one2one	1
ENSGALG00000023122		4	51790372	51792467	SULT1B	ENSCJPG00005001855		4	ortholog_one2one	1
ENSGALG00000036938		2	122124955	122502774	RALYL	ENSCJPG00005000143	RALYL	2	ortholog_one2one	1
ENSGALG00000014709		Z	16760913	16805888	SKIV2L2	ENSCJPG00005001261	MTREX	Z	ortholog_one2one	1
ENSGALG00000003136		7	3660255	3763201	IKZF2	ENSCJPG00005014015	IKZF2	7	ortholog_one2one	1
ENSGALG00000003189		23	5059841	5087792	NFYC	ENSCJPG00005017275	NFYC	23	ortholog_one2one	1
ENSGALG00000015038		1	81317906	81339566	CHD1L	ENSCJPG00005017397	CHD1L	1	ortholog_one2one	1
ENSGALG00000012885		2	67837316	67924872	BCL2	ENSCJPG00005016773	BCL2	2	ortholog_one2one	1
ENSGALG00000050049		9	3700823	3720928	C3orf70	ENSCJPG00005019189	C3orf70	9	ortholog_one2one	1
ENSGALG00000012569		1	53227761	53241371	FBXO7	ENSCJPG00005018189	FBXO7	1	ortholog_one2one	1
ENSGALG00000027147		28	1395132	1397739		ENSCJPG00005009758		28	ortholog_one2one	1
ENSGALG00000053254		9	3724157	3747564	EHHADH	ENSCJPG00005019190	EHHADH	9	ortholog_one2one	1
ENSGALG00000008055		5	22558108	22570827	SYT13	ENSCJPG00005010831	SYT13	5	ortholog_one2one	1
ENSGALG00000015059		1	81342003	81357144		ENSCJPG00005017399		1	ortholog_one2one	1
ENSGALG00000004494		11	8447460	8459801	CCNE1	ENSCJPG00005014393	CCNE1	11	ortholog_one2one	1
ENSGALG00000006051		8	14895304	14912309	CDC7	ENSCJPG00005008208	CDC7	8	ortholog_one2one	1
ENSGALG00000012886		2	67949988	67966351		ENSCJPG00005016772		2	ortholog_one2one	1
ENSGALG00000043072		33	4999482	5006921	POU6F1	ENSCJPG00005004466	POU6F1	LGE22C19W28_E50C23	ortholog_one2one	1
ENSGALG00000023120		4	51792613	51795126	SULT1B1	ENSCJPG00005001871		4	ortholog_one2one	1
ENSGALG00000012888		2	67975897	68105942	PHLPP1	ENSCJPG00005016771	PHLPP1	2	ortholog_one2one	1
ENSGALG00000032984		10	12210959	12214007	MEX3B	ENSCJPG00005020257	MEX3B	10	ortholog_one2one	1
ENSGALG00000026716		28	1399710	1430678	CELF5	ENSCJPG00005009760	CELF5	28	ortholog_one2one	1
ENSGALG00000004416		19	6605813	6610481	TTC19	ENSCJPG00005014453	TTC19	19	ortholog_one2one	1
ENSGALG00000017154		1	180987196	181008738	ZC3H12C	ENSCJPG00005001767	ZC3H12C	1	ortholog_one2one	1
ENSGALG00000006655		9	3763611	3895836	MAP3K13	ENSCJPG00005019192	MAP3K13	9	ortholog_one2one	1
ENSGALG00000012889		2	68136178	68176758	ZCCHC2	ENSCJPG00005016739	ZCCHC2	2	ortholog_one2one	1
ENSGALG00000037220		5	22587180	22599063	ASTL	ENSCJPG00005010832		5	ortholog_one2one	1
ENSGALG00000009748		2	24662430	24676154	ASNS	ENSCJPG00005011523	ASNS	2	ortholog_one2one	1
ENSGALG00000053575		33	5023150	5027892	DAZAP2	ENSCJPG00005004464	DAZAP2	LGE22C19W28_E50C23	ortholog_one2one	1
ENSGALG00000029198		15	657677	671955	YDJC	ENSCJPG00005019012	YDJC	15	ortholog_one2one	1
ENSGALG00000017155		1	181226287	181226754	C11orf87	ENSCJPG00005001772	C11orf87	1	ortholog_one2one	1
ENSGALG00000006376		10	12525266	12542521	TMC3	ENSCJPG00005020260	TMC3	10	ortholog_one2one	1
ENSGALG00000006182		20	9807223	9814892	NSFL1C	ENSCJPG00005005869	NSFL1C	20	ortholog_one2one	1
ENSGALG00000045642		2	68209039	68232992	TNFRSF11A	ENSCJPG00005016738	TNFRSF11A	2	ortholog_one2one	1
ENSGALG00000033894		3	4273783	4274889	MEA1	ENSCJPG00005015586	MEA1	3	ortholog_one2one	1
